_tid_,RAC1P,SEX,REGION,ST,CIT,NATIVITY,DIS,DIVISION,RAC2P,POBP,WAOB
1055,1,1,2,39,1,1,1,3,1,39,1
1056,1,2,2,18,1,1,2,3,1,17,1
1057,1,1,2,17,1,1,2,3,1,17,1
1058,2,1,3,37,1,1,2,5,2,28,1
1059,1,2,3,45,1,1,1,5,1,228,1
1060,1,2,3,22,1,1,1,7,1,22,1
1061,2,2,2,39,1,1,2,3,2,39,1
1062,8,1,3,48,1,1,1,7,67,48,1
1063,2,2,3,37,1,1,2,5,2,37,1
1064,1,1,4,49,1,1,2,8,1,49,1
1065,1,2,2,18,1,1,2,3,1,18,1
1066,1,1,2,27,1,1,2,4,1,27,1
1067,1,2,3,48,1,1,1,7,1,48,1
1068,1,2,4,6,1,1,2,9,1,6,1
1069,1,1,2,17,1,1,2,3,1,17,1
1070,1,1,4,32,1,1,1,8,1,36,1
1071,1,2,2,17,1,1,2,3,1,17,1
1072,1,1,2,55,1,1,1,3,1,55,1
1073,1,1,4,8,1,1,2,8,1,9,1
1074,1,1,2,39,1,1,2,3,1,39,1
1075,1,2,3,10,1,1,2,5,1,10,1
1076,1,1,2,39,1,1,1,3,1,39,1
1077,2,2,2,17,1,1,2,3,2,17,1
1078,8,1,4,6,1,1,2,9,67,6,1
1079,2,2,3,45,1,1,2,5,2,45,1
1080,1,1,2,17,1,1,2,3,1,17,1
1081,8,1,4,6,1,1,2,9,67,6,1
1082,1,1,3,22,1,1,2,7,1,22,1
1083,1,1,4,49,1,1,2,8,1,49,1
1084,1,1,2,39,1,1,2,3,1,39,1
1085,1,1,3,48,1,1,2,7,1,48,1
1086,1,2,4,6,1,1,2,9,1,6,1
1087,2,1,3,37,1,1,2,5,2,37,1
1088,1,2,2,27,1,1,2,4,1,27,1
1089,1,2,3,22,1,1,2,7,1,22,1
1090,1,1,1,36,1,1,2,2,1,36,1
1091,1,1,1,25,1,1,2,1,1,25,1
1092,1,2,3,21,1,1,2,6,1,21,1
1093,9,2,4,6,1,1,2,9,1,6,1
1094,1,2,1,23,1,1,2,1,1,23,1
1095,1,2,3,45,1,1,2,5,1,45,1
1096,1,1,3,21,1,1,2,6,1,21,1
1097,1,2,1,9,1,1,2,1,1,9,1
1098,1,1,2,50,1,1,2,4,1,38,1
1099,9,1,4,6,1,2,1,9,68,6,1
1100,1,2,4,6,1,1,2,9,1,6,1
1101,1,2,4,8,1,1,2,8,1,25,1
1102,1,1,1,42,1,1,2,2,1,42,1
1103,9,2,1,36,1,1,2,2,68,36,1
1104,1,2,3,21,1,1,2,6,1,21,1
1105,9,2,4,21,1,1,2,9,68,4,1
1106,1,1,3,12,1,1,2,5,1,12,1
1107,2,1,3,37,1,1,2,5,2,37,1
1108,1,2,2,39,1,1,2,3,1,39,1
