ID,RAC1P,SEX,REGION,PINCP,ST,COW,CIT,NATIVITY,MSP,SCHL,DIS,MIL
391,2,1,3,135000.0,1,1.0,1,1,1.0,16.0,2,4.0
392,1,2,3,0.0,1,,1,1,1.0,21.0,2,4.0
393,1,2,3,5000.0,1,,1,1,1.0,21.0,2,4.0
394,1,2,3,3200.0,1,1.0,1,1,1.0,21.0,2,4.0
395,1,2,3,11000.0,1,1.0,1,1,1.0,16.0,2,4.0
396,1,1,3,150000.0,1,7.0,1,1,1.0,24.0,2,4.0
397,1,2,3,18000.0,1,1.0,1,1,6.0,18.0,2,4.0
398,2,1,3,,1,,1,1,,11.0,2,
399,1,2,3,0.0,1,1.0,1,1,6.0,16.0,2,4.0
400,1,2,3,18000.0,1,,1,1,3.0,22.0,1,4.0
401,2,2,3,0.0,1,,1,1,6.0,12.0,2,
402,2,1,3,,1,,1,1,,10.0,2,
403,1,2,3,125000.0,1,1.0,1,1,1.0,21.0,2,4.0
404,1,1,3,129400.0,1,6.0,1,1,1.0,18.0,2,4.0
405,6,2,3,15000.0,1,6.0,4,2,1.0,20.0,2,4.0
406,1,2,3,,1,,1,1,,1.0,2,
407,2,1,3,31200.0,1,1.0,1,1,6.0,14.0,2,2.0
408,8,1,3,38000.0,1,1.0,5,2,6.0,20.0,2,4.0
409,1,2,3,50000.0,1,4.0,1,1,1.0,21.0,2,4.0
410,1,1,3,,1,,1,1,,11.0,2,
411,1,1,3,,1,,1,1,,,2,
412,1,2,3,42000.0,1,1.0,1,1,5.0,21.0,2,4.0
